ANALYSIS_ID,CUSTOMER_ID,IMAGE_STAGE_PATH,SKIN_HEX,SKIN_LAB,SKIN_RGB,LIP_HEX,LIP_LAB,LIP_RGB,LIP_IS_NATURAL,ESTIMATED_NATURAL_LIP_HEX,FITZPATRICK_TYPE,MONK_SHADE,UNDERTONE,ITA_ANGLE,MAKEUP_DETECTED,DETECTED_MAKEUP_TYPES,CONFIDENCE_SCORE,FACE_QUALITY_SCORE,LIGHTING_QUALITY,ANALYZED_AT,ANALYSIS_DURATION_MS,MODEL_VERSION
6a168c1f-d371-4c55-b5cd-01cc4ed46488,f1c2de1a-af31-4381-b293-6b02eee59601,@CUSTOMERS.FACE_IMAGES/f1c2de1a-af31-4381-b293-6b02eee59601/analysis_1.jpg,#5ebd88,"[
  73.91065579122731,
  14.388220547945668,
  21.944721447550258
]","[
  251,
  160,
  157
]",#c65b5b,,,False,,3,5,Cool,41.4,True,"[
  ""lipstick"",
  ""foundation""
]",0.88,0.82,poor,2025-09-08 23:56:25,1640,1.0.0
2ae83bf8-de22-4a70-a9e3-769cfb0019be,f1c2de1a-af31-4381-b293-6b02eee59601,@CUSTOMERS.FACE_IMAGES/f1c2de1a-af31-4381-b293-6b02eee59601/analysis_2.jpg,#aeb597,"[
  50.80490025222557,
  6.2355725021276065,
  28.705054227723107
]","[
  193,
  198,
  119
]",#be6668,,,True,,3,5,Cool,29.5,False,"[
  ""foundation""
]",0.87,0.85,good,2025-09-29 00:14:25,1020,1.0.0
f62db24c-a3a2-4134-89c7-4472c5a78522,4ba7f45a-04fd-418b-a684-9f2a53a06a8c,@CUSTOMERS.FACE_IMAGES/4ba7f45a-04fd-418b-a684-9f2a53a06a8c/analysis_1.jpg,#f69e93,"[
  76.77485935234806,
  3.7569268734465737,
  20.305399979689096
]","[
  189,
  159,
  134
]",#a06663,,,False,,2,4,Neutral,31.7,False,"[
  ""mascara"",
  ""foundation""
]",0.94,0.93,acceptable,2025-11-03 20:32:25,1870,1.0.0
9b0586ca-0dc4-4e11-9524-62ebc300d429,4ba7f45a-04fd-418b-a684-9f2a53a06a8c,@CUSTOMERS.FACE_IMAGES/4ba7f45a-04fd-418b-a684-9f2a53a06a8c/analysis_2.jpg,#9aa389,"[
  67.69867829940921,
  13.218744667910979,
  13.725774635219949
]","[
  212,
  166,
  141
]",#ba3f78,,,False,,2,4,Neutral,30.2,True,[],0.95,0.84,poor,2025-10-28 17:14:25,856,1.0.0
c92a7ea3-a818-4d92-8e60-3f0c137496f5,2db897ef-3c46-4b7f-ba9c-272c5f87beac,@CUSTOMERS.FACE_IMAGES/2db897ef-3c46-4b7f-ba9c-272c5f87beac/analysis_1.jpg,#faa7ab,"[
  50.61896994614825,
  1.7119142441111297,
  28.780926556781303
]","[
  244,
  195,
  120
]",#b5596e,,,False,,2,4,Neutral,49.1,False,"[
  ""lipstick"",
  ""foundation""
]",0.9,0.81,good,2025-07-16 14:01:25,1689,1.0.0
401591ec-f8cb-4909-8c12-a28dc975ea88,2db897ef-3c46-4b7f-ba9c-272c5f87beac,@CUSTOMERS.FACE_IMAGES/2db897ef-3c46-4b7f-ba9c-272c5f87beac/analysis_2.jpg,#6da865,"[
  69.30578478926587,
  2.758284740045987,
  25.04267342635778
]","[
  183,
  144,
  148
]",#b95357,,,True,,2,4,Neutral,21.1,False,[],0.91,0.71,good,2025-09-14 15:20:25,1918,1.0.0
97e51396-2749-448c-a4bd-eec2c81b215d,2db897ef-3c46-4b7f-ba9c-272c5f87beac,@CUSTOMERS.FACE_IMAGES/2db897ef-3c46-4b7f-ba9c-272c5f87beac/analysis_3.jpg,#6ab86f,"[
  53.397157757411385,
  -4.530646219533157,
  13.861151231796258
]","[
  232,
  176,
  101
]",#d2377f,,,True,,2,4,Neutral,19.7,False,"[
  ""eyeshadow"",
  ""lipstick""
]",0.81,0.88,good,2025-10-13 01:36:25,705,1.0.0
2cf576b6-1525-458b-9ea9-2c0ea198de9f,b063d9a8-7284-4fe0-9f24-2d00b757b1ac,@CUSTOMERS.FACE_IMAGES/b063d9a8-7284-4fe0-9f24-2d00b757b1ac/analysis_1.jpg,#43cf70,"[
  65.03575585896809,
  4.288723130801561,
  17.66875551871768
]","[
  226,
  173,
  110
]",#ba6563,,,True,,3,5,Cool,35.7,True,"[
  ""eyeshadow""
]",0.86,0.73,poor,2025-08-05 02:48:25,1204,1.0.0
e03174d7-7e07-4cd2-aab4-50f417cd549c,b063d9a8-7284-4fe0-9f24-2d00b757b1ac,@CUSTOMERS.FACE_IMAGES/b063d9a8-7284-4fe0-9f24-2d00b757b1ac/analysis_2.jpg,#2ca36f,"[
  74.37866532778634,
  -3.326911599520672,
  24.464678421401057
]","[
  222,
  198,
  103
]",#9b5870,,,True,,3,5,Cool,39.3,True,[],0.95,0.78,acceptable,2025-06-27 16:40:25,1345,1.0.0
a28e994a-3fa2-4397-b10e-f7d9b645df6d,57234a5b-25b5-4795-a408-aa173bc8c50e,@CUSTOMERS.FACE_IMAGES/57234a5b-25b5-4795-a408-aa173bc8c50e/analysis_1.jpg,#13c1af,"[
  77.69214867177081,
  4.551220138415946,
  22.364076813434263
]","[
  242,
  145,
  132
]",#bd7282,,,False,,3,5,Cool,35.2,True,"[
  ""mascara""
]",0.88,0.82,good,2025-09-20 00:59:26,1450,1.0.0
1ee733dc-412d-497a-8814-cc9804fe266c,57234a5b-25b5-4795-a408-aa173bc8c50e,@CUSTOMERS.FACE_IMAGES/57234a5b-25b5-4795-a408-aa173bc8c50e/analysis_2.jpg,#98a78d,"[
  76.3839704047256,
  12.331125250349999,
  12.788658539793271
]","[
  246,
  216,
  147
]",#d1767a,,,True,,3,5,Cool,21.4,False,"[
  ""foundation""
]",0.98,0.85,poor,2025-09-15 15:02:26,1316,1.0.0
