LABEL_ID,PRODUCT_ID,LABEL_TYPE,EXTRACTED_TEXT,STRUCTURED_DATA,SOURCE_IMAGE_URL,SOURCE_MEDIA_ID,EXTRACTION_MODEL,EXTRACTION_CONFIDENCE,EXTRACTION_DATE
e1fecb7b-94d3-40f1-90d4-744198acd4db,77a744db-f2c9-465c-84a4-733b21b8da24,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0001_dense.png,,claude-3-5-sonnet,0.95,2025-12-02 21:35:54
73defbb3-4a87-4f2d-9ae3-2f85f5ba01bc,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/MAY-LIP-0002_luxury.png,,claude-3-5-sonnet,0.86,2025-12-03 07:12:54
cdeea79c-522d-4dd8-9730-eaaab8b2c520,faf4d30d-559e-41ec-b67a-e5cd32069fbc,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/CHA-LIP-0003_minimalist.png,,claude-3-5-sonnet,0.94,2025-12-03 21:50:54
f9650ea6-dbcb-405d-bbd5-f424ce1a8898,676aa57a-ad37-4b0f-a77b-7d5f46d781dc,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/LAU-LIP-0004_tabular.png,,claude-3-5-sonnet,0.86,2025-11-29 02:07:54
afbe10c6-61ca-4c1c-bef3-3ac0bebba672,906dc344-db0d-461b-9f99-9a9ddedc6c55,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/LAU-LIP-0005_tabular.png,,claude-3-5-sonnet,0.87,2025-11-30 04:48:54
02c0b60a-dcaa-41c8-9be4-3e4c26087dd4,c9e22254-ef93-429a-9bba-8939d75e80f2,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/SUM-LIP-0006_minimalist.png,,claude-3-5-sonnet,0.92,2025-12-09 04:41:54
74e1e6bf-7828-4173-b652-3eda40e56262,42945b9a-a394-40ea-8313-703880379eb9,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/THE-LIP-0007_horizontal.png,,claude-3-5-sonnet,0.87,2025-11-27 09:25:54
d135239b-1724-48ad-b8af-639769018731,bc7b2942-4814-443f-9f83-ae30887b7ea7,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/SUM-LIP-0008_vertical.png,,claude-3-5-sonnet,0.87,2025-11-28 19:25:54
491e2d1d-3651-4548-9ba2-21c6d1e352ec,f24faa8d-5b25-4088-97d3-7677b8963326,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/MIL-LIP-0009_vertical.png,,claude-3-5-sonnet,0.92,2025-12-12 19:34:54
92148924-6679-4982-ac43-f062191ff507,5baa4be0-04e2-4b87-bc26-1da30e353f4a,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/CLI-LIP-0010_dense.png,,claude-3-5-sonnet,0.88,2025-12-01 19:11:55
69433ae4-1872-4626-be95-b38b6e2aa619,cbf59a8b-5596-41ec-8aa2-85740de1bffe,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/EST-LIP-0011_minimalist.png,,claude-3-5-sonnet,0.97,2025-12-10 02:27:55
7bb6f8f0-1635-414c-aa87-46baed98693c,8a9437e5-bb37-44ed-8b92-c294663965d2,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/L'O-LIP-0012_minimalist.png,,claude-3-5-sonnet,0.91,2025-12-02 23:32:55
960b3bfd-f650-4b78-84c1-0cdb1e6123e9,b3b2f293-bc16-4b41-958f-7a408d03839c,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/CHA-LIP-0013_tabular.png,,claude-3-5-sonnet,0.89,2025-11-29 19:46:55
6c82d561-af8f-4526-8e75-254003beadd1,26b06223-5045-4f89-9fec-affaad3eb6ef,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0014_luxury.png,,claude-3-5-sonnet,0.98,2025-11-21 10:30:55
dfc98c4c-4a29-4024-9481-666a26d09a44,3d7d90a3-419f-4511-83dd-b897f1d0c348,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/MIL-LIP-0015_horizontal.png,,claude-3-5-sonnet,0.92,2025-12-10 03:24:55
e4843e53-f5a6-4aed-845e-4f5658f5ba80,0b10bad3-945c-4db6-bc60-22c9fc378c05,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/URB-LIP-0016_dense.png,,claude-3-5-sonnet,0.91,2025-12-03 09:55:55
41dfd29b-123b-4225-b323-ed4ba28750e3,cebac180-617e-429a-ae99-70b0f7315c2b,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/DRU-LIP-0017_minimalist.png,,claude-3-5-sonnet,0.94,2025-12-01 23:20:55
eb6c35a5-6b45-41a5-939e-7351d32882a2,066c2bf9-71d5-4c2c-8258-216f8b39dab4,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/PAT-LIP-0018_tabular.png,,claude-3-5-sonnet,0.97,2025-12-16 16:53:55
79a104f4-2038-4bf6-b4ad-b32aaaf118fd,1a76a85d-57ee-4e7e-a513-bb97439a3363,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/HUD-LIP-0019_luxury.png,,claude-3-5-sonnet,0.92,2025-11-21 19:03:55
5bd11ba4-7ab1-4be2-8b43-74deab6d4dc2,7169fb5b-4a56-4c2d-aec0-d124ab1851bc,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0020_dense.png,,claude-3-5-sonnet,0.91,2025-11-23 04:16:55
e2f13181-5f2f-4408-bb2d-e06cca41a8e3,4eb41f35-d31e-450c-b565-914386dc1711,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/MAY-LIP-0021_tabular.png,,claude-3-5-sonnet,0.97,2025-12-18 20:31:56
f48ce2c3-b87a-4c7d-8fc2-b6e3c1078792,0e3dabfd-dbff-42d5-addf-36bb4eae603f,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/RAR-LIP-0022_luxury.png,,claude-3-5-sonnet,0.9,2025-12-04 18:08:56
7e596971-376d-429e-aff1-3763e082d43e,1150c55c-8c65-4ddf-a8c6-c616b06dbb2a,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/TAR-LIP-0023_vertical.png,,claude-3-5-sonnet,0.87,2025-12-06 12:08:56
9df9eccf-a3da-46a0-9645-4de11b0d01d6,d2a8c339-602b-4781-833c-76957f5bbd74,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/CHA-LIP-0024_luxury.png,,claude-3-5-sonnet,0.95,2025-11-26 21:08:56
f05d711f-25f1-438a-94fd-f03d16ed8215,e7198c49-02c4-4d28-a61d-f7167c44b493,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/RAR-LIP-0025_tabular.png,,claude-3-5-sonnet,0.92,2025-11-29 07:46:56
a080b312-5c5d-428d-9f05-a1386f2bef8b,851b727c-9965-4a80-bdad-3f5c3bbac507,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/CER-LIP-0026_tabular.png,,claude-3-5-sonnet,0.92,2025-12-15 02:31:56
b9e5d009-49c4-4e3a-a46b-b13085bbd634,d48de8e0-6a22-4d71-a802-9d1b4e06997f,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/PAT-LIP-0027_horizontal.png,,claude-3-5-sonnet,0.86,2025-11-24 21:04:56
9d3e7584-2a3f-4719-a4cf-64bf497fdeaa,d555c3cb-bf0e-4d17-9239-13204ec6c106,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/FEN-LIP-0028_minimalist.png,,claude-3-5-sonnet,0.93,2025-12-10 04:10:56
c421cf3d-e1c5-4056-8fe6-84a18fe984e6,e808c39e-791a-4718-a747-aef03f4b06b6,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/BEN-LIP-0029_tabular.png,,claude-3-5-sonnet,0.95,2025-12-10 16:24:56
3904a894-1f43-4e3c-9808-8891dbae0299,cb92f956-21d7-48db-b9d9-d0f4183f2404,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/L'O-LIP-0030_horizontal.png,,claude-3-5-sonnet,0.85,2025-11-23 14:18:56
90588491-5914-4a82-a77c-bd0a0381d31d,84fd7657-f510-491a-9c85-a981412f6299,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/MAY-LIP-0031_horizontal.png,,claude-3-5-sonnet,0.91,2025-11-21 01:56:56
fe403dfc-bb17-4bd1-b170-c527adb497f6,28179dae-e373-4ad3-8788-258c8ae19511,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/MAC-LIP-0032_tabular.png,,claude-3-5-sonnet,0.97,2025-11-30 10:05:57
546d52c2-3be9-4f1b-89f7-48886c7f2dfc,f011e981-475d-4ccf-8035-27fd2a510dae,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/TOW-LIP-0033_minimalist.png,,claude-3-5-sonnet,0.87,2025-11-29 05:47:57
db44b7ed-5363-46a0-bec3-7a533ad98b56,235780fc-2ef4-4725-ba7d-0389cadcb03f,ingredients,,,@PRODUCTS.PRODUCT_MEDIA/labels/CHA-LIP-0034_tabular.png,,claude-3-5-sonnet,0.91,2025-11-25 11:16:57
