MEDIA_ID,PRODUCT_ID,VARIANT_ID,URL,MEDIA_TYPE,MEDIA_SUBTYPE,ALT_TEXT,WIDTH,HEIGHT,FILE_SIZE_BYTES,DISPLAY_ORDER,IS_PRIMARY,IS_PROCESSED,PROCESSED_AT,CREATED_AT
5ad4e054-7442-4869-b03c-80f4962c116d,77a744db-f2c9-465c-84a4-733b21b8da24,259e0134-d33e-4de8-a95e-bf5a0606d722,@PRODUCTS.PRODUCT_MEDIA/swatches/TAR-LIP-0001-PLU.png,image,swatch,Plum swatch,200,200,15951,1,False,True,2025-12-02 19:12:54,2025-10-11 04:35:54
aa4ae042-8175-49f8-9499-00283b2fb9af,77a744db-f2c9-465c-84a4-733b21b8da24,338fd344-dc77-4445-bb14-4223367c560e,@PRODUCTS.PRODUCT_MEDIA/swatches/TAR-LIP-0001-CHO.png,image,swatch,Chocolate swatch,200,200,14433,1,False,True,2025-12-11 05:48:54,2025-10-11 04:35:54
77cff215-4456-4314-a64a-3fdc6aeb2f43,77a744db-f2c9-465c-84a4-733b21b8da24,49f37941-c09f-4974-ac76-f338dcbcbe24,@PRODUCTS.PRODUCT_MEDIA/swatches/TAR-LIP-0001-FIR.png,image,swatch,Firebrick swatch,200,200,9804,1,False,True,2025-12-06 14:11:54,2025-10-11 04:35:54
dca67f25-ff24-41b1-8ba2-86a995b4d4ec,77a744db-f2c9-465c-84a4-733b21b8da24,5ebf1779-743f-4cdd-b166-fd5263587257,@PRODUCTS.PRODUCT_MEDIA/swatches/TAR-LIP-0001-HOT.png,image,swatch,Hot Pink swatch,200,200,15007,1,False,True,2025-11-23 17:57:54,2025-10-11 04:35:54
31f5a27c-5ac9-4294-bd7c-1a6417ee46d1,77a744db-f2c9-465c-84a4-733b21b8da24,,@PRODUCTS.PRODUCT_MEDIA/hero/lips/lipstick_01.jpg,image,hero,Tarte Essential Lipstick product image,800,800,95644,0,True,True,2025-12-18 00:04:54,2025-10-11 04:35:54
d8d289ff-bb59-47cd-91a9-d90410fadeca,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,5b03fcee-40e3-4e9e-95d6-7792433ac79a,@PRODUCTS.PRODUCT_MEDIA/swatches/MAY-LIP-0002-SAD.png,image,swatch,Saddle Brown swatch,200,200,8669,1,False,True,2025-12-15 18:08:54,2025-06-08 11:06:54
29d526d4-36de-48c7-8297-dc58bb62e1b5,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,e1d084af-4164-494e-bf84-2ba1b86396e8,@PRODUCTS.PRODUCT_MEDIA/swatches/MAY-LIP-0002-PEA.png,image,swatch,Peach swatch,200,200,17971,1,False,True,2025-11-21 14:37:54,2025-06-08 11:06:54
706aef9f-f8e9-461c-83d1-2ace62fdebe0,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,bd9a2143-612e-4753-82c0-98a7a2f2c868,@PRODUCTS.PRODUCT_MEDIA/swatches/MAY-LIP-0002-COR.png,image,swatch,Coral Orange swatch,200,200,11417,1,False,True,2025-11-25 20:26:54,2025-06-08 11:06:54
488f9d9b-c3fe-41b1-ad50-354b3cff1194,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,f35d532a-bdf5-44e7-a9f0-2c48b9817379,@PRODUCTS.PRODUCT_MEDIA/swatches/MAY-LIP-0002-SIE.png,image,swatch,Sienna swatch,200,200,9083,1,False,True,2025-12-11 17:29:54,2025-06-08 11:06:54
ceca83f2-1a94-4556-94fd-59488cd1196f,ed76991a-5ac9-4617-aa11-0f6ae04ccf56,,@PRODUCTS.PRODUCT_MEDIA/hero/lips/lipstick_02.jpg,image,hero,Maybelline Ultra Lipstick product image,800,800,72768,0,True,True,2025-12-15 13:47:54,2025-06-08 11:06:54
