PROMOTION_ID,NAME,DESCRIPTION,PROMO_CODE,DISCOUNT_TYPE,DISCOUNT_VALUE,APPLIES_TO,PRODUCT_IDS,CATEGORY_IDS,BRAND_NAMES,MIN_PURCHASE_AMOUNT,MAX_USES,MAX_USES_PER_CUSTOMER,CURRENT_USES,START_DATE,END_DATE,IS_ACTIVE,CREATED_AT
c489ac9b-e578-4775-9ffd-9ae220ae8f8b,New Customer 1,Limited time offer - save on your favorite products!,SAVE39,bogo,5.00,all,,,,25.00,0,5,20,2025-11-04 23:32:21,2025-11-09 23:32:21,False,2025-11-04 23:32:21
1ec7e5e0-6ad0-46be-b1cd-74baba37c6a5,VIP Exclusive 2,Limited time offer - save on your favorite products!,,fixed,5.00,brand,,,,75.00,0,5,22,2025-11-14 23:32:21,2025-11-21 23:32:21,False,2025-11-14 23:32:21
984181f7-90fc-4e0a-b116-75d53bf51a7a,Buy More Save More 3,Limited time offer - save on your favorite products!,SAVE29,bogo,10.00,brand,,,,50.00,1000,2,0,2025-12-12 23:32:21,2025-12-26 23:32:21,True,2025-12-12 23:32:21
d46a85d0-1baf-44ec-b990-c66d7157f070,Summer Sale 5,Limited time offer - save on your favorite products!,,fixed,25.00,all,,,,50.00,0,2,8,2025-12-10 23:32:21,2025-12-29 23:32:21,True,2025-12-10 23:32:21
a40b4687-d762-483d-bc9d-32a4f527643d,Birthday Treat 6,Limited time offer - save on your favorite products!,SAVE13,fixed,15.00,category,,,,75.00,1000,5,14,2025-10-22 23:32:21,2025-11-04 23:32:21,False,2025-10-22 23:32:21
f097331d-be6e-4bcc-b520-aefffde2f361,VIP Exclusive 8,Limited time offer - save on your favorite products!,,fixed,5.00,all,,,,25.00,1000,1,45,2025-11-27 23:32:21,2025-12-20 23:32:21,True,2025-11-27 23:32:21
a912d8b9-32cb-48f6-b192-5833bbee59a3,Birthday Treat 9,Limited time offer - save on your favorite products!,SAVE24,fixed,10.00,all,,,,25.00,500,1,1,2025-11-30 23:32:21,2025-12-12 23:32:21,False,2025-11-30 23:32:21
baee80d9-2140-41be-94d7-aad470e79e0c,Flash Sale 10,Limited time offer - save on your favorite products!,,bogo,5.00,brand,,,,75.00,1000,1,39,2025-11-21 23:32:21,2025-12-06 23:32:21,False,2025-11-21 23:32:21
757302d9-36d7-4cee-918e-cb4fa194a1b6,Buy More Save More 11,Limited time offer - save on your favorite products!,SAVE38,percentage,5.00,category,,,,50.00,1000,2,49,2025-12-14 23:32:21,2025-12-30 23:32:21,True,2025-12-14 23:32:21
f95e3379-a13b-49dc-9d12-ab0b2f5cec74,Flash Sale 13,Limited time offer - save on your favorite products!,SAVE14,fixed,10.00,category,,,,50.00,500,5,8,2025-12-14 23:32:21,2026-01-10 23:32:21,True,2025-12-14 23:32:21
c10bb9f8-bba0-41ec-a0a9-e167d6798ad3,Buy More Save More 14,Limited time offer - save on your favorite products!,,fixed,10.00,brand,,,,0.00,100,1,5,2025-12-19 23:32:21,2026-01-08 23:32:21,True,2025-12-19 23:32:21
e9698361-39be-4d13-9551-ae46dada0945,VIP Exclusive 15,Limited time offer - save on your favorite products!,,fixed,10.00,brand,,,,50.00,500,2,36,2025-12-04 23:32:21,2025-12-11 23:32:21,False,2025-12-04 23:32:21
f6cff024-2ed4-4dc6-b985-628f7d42cf3c,New Customer 16,Limited time offer - save on your favorite products!,SAVE17,percentage,30.00,brand,,,,100.00,1000,5,27,2025-11-25 23:32:21,2025-12-23 23:32:21,True,2025-11-25 23:32:21
105794c5-4f25-4723-bd92-764a6067ebfe,VIP Exclusive 17,Limited time offer - save on your favorite products!,,bogo,10.00,brand,,,,100.00,100,5,28,2025-12-19 23:32:21,2026-01-09 23:32:21,True,2025-12-19 23:32:21
732cd70f-d76a-46f4-b889-44f18dcd2a2d,Summer Sale 18,Limited time offer - save on your favorite products!,,bogo,15.00,brand,,,,75.00,100,2,15,2025-12-19 23:32:21,2026-01-18 23:32:21,True,2025-12-19 23:32:21
541aa4b3-f98f-48f3-905e-fb86b526361d,Flash Sale 21,Limited time offer - save on your favorite products!,SAVE21,bogo,5.00,brand,,,,0.00,100,5,3,2025-11-04 23:32:21,2025-11-13 23:32:21,False,2025-11-04 23:32:21
70bc205d-86e6-47fe-a166-f8e999a8028d,Holiday Special 22,Limited time offer - save on your favorite products!,SAVE30,bogo,15.00,category,,,,50.00,100,5,1,2025-11-28 23:32:21,2025-12-03 23:32:21,False,2025-11-28 23:32:21
fcc184cd-df99-4c65-bc5c-32803889386c,Summer Sale 23,Limited time offer - save on your favorite products!,,fixed,30.00,all,,,,25.00,0,1,2,2025-10-25 23:32:21,2025-11-09 23:32:21,False,2025-10-25 23:32:21
27b03ff2-a30c-4cbe-bbd4-4960f3a4ae0a,VIP Exclusive 25,Limited time offer - save on your favorite products!,,percentage,10.00,category,,,,75.00,100,1,30,2025-12-01 23:32:21,2025-12-12 23:32:21,False,2025-12-01 23:32:21
076d179e-f6b9-4771-afbd-c816db624312,Buy More Save More 26,Limited time offer - save on your favorite products!,SAVE40,bogo,30.00,all,,,,75.00,100,5,18,2025-11-03 23:32:21,2025-11-10 23:32:21,False,2025-11-03 23:32:21
dd9792e9-1213-4cee-acf0-a94f0c732bfb,VIP Exclusive 28,Limited time offer - save on your favorite products!,,percentage,25.00,category,,,,50.00,100,1,46,2025-12-19 23:32:21,2026-01-12 23:32:21,True,2025-12-19 23:32:21
57c60807-43fd-403e-bfdd-f3ebdb9e9add,Summer Sale 31,Limited time offer - save on your favorite products!,SAVE21,fixed,20.00,brand,,,,100.00,100,2,9,2025-11-20 23:32:22,2025-12-06 23:32:22,False,2025-11-20 23:32:22
a60b02dd-513e-4c5d-82cf-4a6af0d2212e,Birthday Treat 32,Limited time offer - save on your favorite products!,SAVE32,bogo,20.00,all,,,,0.00,500,1,17,2025-11-16 23:32:22,2025-11-21 23:32:22,False,2025-11-16 23:32:22
35fb5736-59c8-4ea6-9347-a26c71bf9ddb,Holiday Special 33,Limited time offer - save on your favorite products!,SAVE22,percentage,5.00,all,,,,50.00,1000,2,18,2025-11-12 23:32:22,2025-12-05 23:32:22,False,2025-11-12 23:32:22
2ae6947f-8fcd-4f82-9b6f-faee76e3aacf,Flash Sale 34,Limited time offer - save on your favorite products!,SAVE46,percentage,10.00,brand,,,,25.00,100,1,13,2025-12-10 23:32:22,2025-12-28 23:32:22,True,2025-12-10 23:32:22
e5d6bf49-6861-4a73-8458-b04891f0e409,Summer Sale 35,Limited time offer - save on your favorite products!,SAVE47,bogo,15.00,brand,,,,0.00,1000,1,40,2025-12-14 23:32:22,2025-12-27 23:32:22,True,2025-12-14 23:32:22
13b64d44-73aa-42f2-b3fe-f23e5613ad95,Birthday Treat 36,Limited time offer - save on your favorite products!,SAVE42,percentage,5.00,brand,,,,50.00,100,2,16,2025-11-13 23:32:22,2025-12-05 23:32:22,False,2025-11-13 23:32:22
1a800dd6-c06c-4ba4-bd17-d73667f55b80,New Customer 37,Limited time offer - save on your favorite products!,SAVE37,bogo,10.00,all,,,,50.00,500,2,9,2025-10-30 23:32:22,2025-11-07 23:32:22,False,2025-10-30 23:32:22
9257b4fa-e014-467d-a4a0-509a1b72bc99,New Customer 40,Limited time offer - save on your favorite products!,SAVE22,fixed,15.00,category,,,,50.00,0,5,39,2025-10-27 23:32:22,2025-11-04 23:32:22,False,2025-10-27 23:32:22
f0d56b48-c78a-4869-a02a-f4a8b2a39318,VIP Exclusive 41,Limited time offer - save on your favorite products!,SAVE17,fixed,15.00,all,,,,0.00,1000,5,4,2025-12-07 23:32:22,2025-12-13 23:32:22,False,2025-12-07 23:32:22
3e78fc6f-1a16-49b6-9ed3-0ed8c2ad8f11,Summer Sale 42,Limited time offer - save on your favorite products!,,percentage,10.00,category,,,,0.00,100,2,10,2025-12-18 23:32:22,2025-12-29 23:32:22,True,2025-12-18 23:32:22
9b76a05e-2417-48ca-9c0d-df15508ff1d2,VIP Exclusive 43,Limited time offer - save on your favorite products!,SAVE26,percentage,20.00,all,,,,100.00,1000,5,46,2025-11-07 23:32:22,2025-12-02 23:32:22,False,2025-11-07 23:32:22
35790062-15db-4e5c-94c6-4b9f5ccbd06e,Holiday Special 44,Limited time offer - save on your favorite products!,SAVE17,bogo,15.00,brand,,,,50.00,100,2,11,2025-11-08 23:32:22,2025-11-23 23:32:22,False,2025-11-08 23:32:22
c9625471-33fb-4f3e-b7ce-92bc62559088,Buy More Save More 46,Limited time offer - save on your favorite products!,,bogo,5.00,brand,,,,100.00,1000,5,17,2025-12-07 23:32:22,2025-12-19 23:32:22,False,2025-12-07 23:32:22
4efb05b4-76fc-461e-b548-84ad19db9011,Summer Sale 47,Limited time offer - save on your favorite products!,SAVE15,percentage,10.00,brand,,,,100.00,0,1,17,2025-11-23 23:32:22,2025-12-23 23:32:22,True,2025-11-23 23:32:22
b05e0e0a-565c-411c-82b8-ddce8814d0b2,Birthday Treat 48,Limited time offer - save on your favorite products!,SAVE46,percentage,10.00,category,,,,50.00,1000,1,48,2025-11-25 23:32:22,2025-12-22 23:32:22,True,2025-11-25 23:32:22
d4cb6823-803e-4ea3-b131-301ca4423b10,Birthday Treat 49,Limited time offer - save on your favorite products!,,bogo,20.00,brand,,,,0.00,100,5,26,2025-10-29 23:32:22,2025-11-24 23:32:22,False,2025-10-29 23:32:22
35c27fe1-b100-482f-a0f4-8e3f98363605,Birthday Treat 50,Limited time offer - save on your favorite products!,,bogo,30.00,category,,,,75.00,500,5,2,2025-12-05 23:32:22,2026-01-03 23:32:22,True,2025-12-05 23:32:22
6126f35c-a319-4215-a7c1-8d4be15f6e9c,VIP Exclusive 51,Limited time offer - save on your favorite products!,,fixed,30.00,category,,,,50.00,500,1,17,2025-12-02 23:32:22,2025-12-29 23:32:22,True,2025-12-02 23:32:22
0b6a2981-4b3c-43b2-9579-7f26a3a8662d,Summer Sale 53,Limited time offer - save on your favorite products!,,fixed,25.00,category,,,,0.00,1000,2,41,2025-10-28 23:32:22,2025-10-31 23:32:22,False,2025-10-28 23:32:22
6cb4f632-81c7-4807-bbfd-54c27d416d55,Flash Sale 56,Limited time offer - save on your favorite products!,SAVE23,fixed,25.00,all,,,,0.00,1000,2,46,2025-10-31 23:32:22,2025-11-13 23:32:22,False,2025-10-31 23:32:22
d145e8ae-a312-480a-ab59-e60a3ccc9338,Summer Sale 57,Limited time offer - save on your favorite products!,SAVE26,percentage,10.00,category,,,,0.00,100,1,48,2025-11-04 23:32:22,2025-11-21 23:32:22,False,2025-11-04 23:32:22
ef23b34a-f77f-4dc6-a934-8429d5f4e152,Buy More Save More 58,Limited time offer - save on your favorite products!,,percentage,25.00,brand,,,,100.00,100,2,49,2025-11-11 23:32:22,2025-12-09 23:32:22,False,2025-11-11 23:32:22
6b08e32a-3980-4bbb-a03f-70966ddc1ef5,Summer Sale 61,Limited time offer - save on your favorite products!,,fixed,30.00,category,,,,75.00,1000,1,49,2025-12-15 23:32:22,2026-01-03 23:32:22,True,2025-12-15 23:32:22
89116df4-27eb-4baa-9172-13645045017f,Birthday Treat 62,Limited time offer - save on your favorite products!,SAVE19,bogo,10.00,all,,,,100.00,0,2,33,2025-11-13 23:32:22,2025-11-20 23:32:22,False,2025-11-13 23:32:22
a0d8919c-562b-4f7d-91e8-cfc3ef043666,New Customer 66,Limited time offer - save on your favorite products!,SAVE26,bogo,10.00,brand,,,,100.00,1000,2,47,2025-11-04 23:32:22,2025-11-25 23:32:22,False,2025-11-04 23:32:22
0f1412eb-f908-42e4-8f66-9af3e03b82c0,Summer Sale 67,Limited time offer - save on your favorite products!,SAVE15,percentage,10.00,category,,,,100.00,500,1,5,2025-11-30 23:32:22,2025-12-19 23:32:22,False,2025-11-30 23:32:22
35a6521e-6f9c-4e58-8f67-9071ac955bd1,Flash Sale 68,Limited time offer - save on your favorite products!,SAVE29,fixed,10.00,category,,,,0.00,500,5,45,2025-10-23 23:32:22,2025-11-03 23:32:22,False,2025-10-23 23:32:22
a1208447-c42a-4f23-bd75-c323594c922b,VIP Exclusive 69,Limited time offer - save on your favorite products!,SAVE12,fixed,20.00,all,,,,0.00,1000,2,34,2025-11-10 23:32:22,2025-11-28 23:32:22,False,2025-11-10 23:32:22
a4ecd96a-329a-43b2-af0d-27e3f6db9bbc,Flash Sale 72,Limited time offer - save on your favorite products!,,bogo,15.00,all,,,,25.00,100,2,41,2025-12-14 23:32:22,2025-12-29 23:32:22,True,2025-12-14 23:32:22
2d8bd792-f85a-4a02-94ca-e06961772462,Holiday Special 73,Limited time offer - save on your favorite products!,SAVE35,percentage,10.00,category,,,,75.00,0,1,34,2025-11-08 23:32:22,2025-11-26 23:32:22,False,2025-11-08 23:32:22
64b2ad31-db31-4d10-be71-a3e3d925955a,Buy More Save More 75,Limited time offer - save on your favorite products!,,percentage,10.00,category,,,,75.00,1000,5,22,2025-10-27 23:32:22,2025-11-23 23:32:22,False,2025-10-27 23:32:22
e36d51b9-8e4a-4a61-aa6d-05651986d6f6,Flash Sale 77,Limited time offer - save on your favorite products!,,fixed,20.00,brand,,,,0.00,100,2,5,2025-11-11 23:32:22,2025-11-26 23:32:22,False,2025-11-11 23:32:22
298e127e-ed51-465f-a0e1-4778fbf40a7b,Flash Sale 79,Limited time offer - save on your favorite products!,SAVE44,bogo,25.00,category,,,,50.00,0,2,25,2025-12-18 23:32:22,2025-12-28 23:32:22,True,2025-12-18 23:32:22
b303f42b-436a-413c-8adb-be059d4dacf7,Birthday Treat 80,Limited time offer - save on your favorite products!,SAVE44,percentage,15.00,brand,,,,0.00,500,2,25,2025-10-21 23:32:22,2025-10-29 23:32:22,False,2025-10-21 23:32:22
f071a021-fdf4-4d74-9069-2d3033bc4a4f,Buy More Save More 81,Limited time offer - save on your favorite products!,SAVE27,bogo,15.00,all,,,,100.00,500,2,8,2025-11-28 23:32:22,2025-12-01 23:32:22,False,2025-11-28 23:32:22
904e64b4-6cc2-4045-9eab-cf6f7e5f54c0,Summer Sale 82,Limited time offer - save on your favorite products!,SAVE26,percentage,30.00,all,,,,75.00,500,2,40,2025-11-17 23:32:22,2025-12-16 23:32:22,False,2025-11-17 23:32:22
62720d9e-687f-4cc8-a3c7-ae273f6cf565,Holiday Special 84,Limited time offer - save on your favorite products!,SAVE23,percentage,10.00,all,,,,75.00,0,1,37,2025-12-17 23:32:22,2026-01-05 23:32:22,True,2025-12-17 23:32:22
ea091385-89a5-4328-87b8-893bf4bfb59a,Holiday Special 87,Limited time offer - save on your favorite products!,SAVE37,fixed,15.00,category,,,,50.00,500,5,39,2025-11-17 23:32:22,2025-12-04 23:32:22,False,2025-11-17 23:32:22
7d9fd20e-fb8c-41af-aee1-d7bcbe9fa5ca,Birthday Treat 88,Limited time offer - save on your favorite products!,,bogo,15.00,category,,,,75.00,500,5,38,2025-11-16 23:32:22,2025-11-27 23:32:22,False,2025-11-16 23:32:22
52c23045-b1b0-45df-9566-dab7a15f4744,VIP Exclusive 90,Limited time offer - save on your favorite products!,SAVE41,bogo,25.00,all,,,,50.00,1000,5,36,2025-11-07 23:32:22,2025-12-06 23:32:22,False,2025-11-07 23:32:22
732c6852-5c65-49f6-a1e3-66e97f7fcc3c,New Customer 91,Limited time offer - save on your favorite products!,SAVE31,fixed,25.00,category,,,,50.00,500,1,41,2025-11-29 23:32:22,2025-12-08 23:32:22,False,2025-11-29 23:32:22
8f878886-ebb0-4f2a-acf3-aad3c3374c26,VIP Exclusive 92,Limited time offer - save on your favorite products!,,bogo,10.00,brand,,,,50.00,100,5,40,2025-10-27 23:32:22,2025-11-08 23:32:22,False,2025-10-27 23:32:22
f024bda8-39ea-41e0-a66a-bd5a51fd96c2,VIP Exclusive 93,Limited time offer - save on your favorite products!,,percentage,10.00,all,,,,25.00,500,5,37,2025-10-21 23:32:22,2025-10-29 23:32:22,False,2025-10-21 23:32:22
b1c2ee5d-ff6f-496d-aaaa-07b4609350af,Birthday Treat 94,Limited time offer - save on your favorite products!,SAVE47,percentage,25.00,category,,,,0.00,1000,2,12,2025-11-20 23:32:22,2025-12-09 23:32:22,False,2025-11-20 23:32:22
d3e61758-ff72-4609-9040-b3956e8d4816,Summer Sale 95,Limited time offer - save on your favorite products!,SAVE48,percentage,10.00,category,,,,100.00,500,2,15,2025-10-27 23:32:22,2025-11-03 23:32:22,False,2025-10-27 23:32:22
9c43b199-87d4-4aa8-b10e-bdfb530ef1a1,Buy More Save More 96,Limited time offer - save on your favorite products!,SAVE31,fixed,5.00,brand,,,,75.00,500,2,32,2025-12-01 23:32:22,2025-12-18 23:32:22,False,2025-12-01 23:32:22
91c8c17f-2c9f-4d66-88a7-1c17a3280ea2,New Customer 98,Limited time offer - save on your favorite products!,,percentage,10.00,all,,,,50.00,0,5,34,2025-10-31 23:32:22,2025-11-13 23:32:22,False,2025-10-31 23:32:22
bd2f55a4-681c-4410-80d0-5b4eba23047e,New Customer 99,Limited time offer - save on your favorite products!,SAVE44,percentage,5.00,category,,,,0.00,0,1,22,2025-11-28 23:32:22,2025-12-27 23:32:22,True,2025-11-28 23:32:22
25bf61b8-3cc5-4eed-ae8a-917c2397351a,New Customer 100,Limited time offer - save on your favorite products!,,percentage,15.00,brand,,,,0.00,1000,5,4,2025-12-12 23:32:22,2026-01-03 23:32:22,True,2025-12-12 23:32:22
147d7dfa-fa14-4ed7-8cda-031229c75dc1,Holiday Special 101,Limited time offer - save on your favorite products!,,fixed,5.00,all,,,,0.00,1000,5,1,2025-10-25 23:32:22,2025-11-21 23:32:22,False,2025-10-25 23:32:22
d08fc438-93d8-499c-ad6d-c216522be845,Flash Sale 103,Limited time offer - save on your favorite products!,,percentage,25.00,brand,,,,50.00,0,5,14,2025-11-02 23:32:22,2025-11-17 23:32:22,False,2025-11-02 23:32:22
d45e01ce-782e-407a-8310-7b62b3faffe8,VIP Exclusive 104,Limited time offer - save on your favorite products!,,percentage,5.00,all,,,,25.00,1000,2,38,2025-11-07 23:32:22,2025-12-04 23:32:22,False,2025-11-07 23:32:22
09245c43-ef9c-4117-a9c8-5c0c59b2b907,Flash Sale 105,Limited time offer - save on your favorite products!,,bogo,15.00,brand,,,,50.00,0,1,22,2025-12-16 23:32:22,2025-12-21 23:32:22,True,2025-12-16 23:32:22
021843eb-406c-4cef-a26a-6ae31915cc00,Buy More Save More 106,Limited time offer - save on your favorite products!,,fixed,20.00,brand,,,,75.00,100,2,30,2025-12-08 23:32:22,2025-12-30 23:32:22,True,2025-12-08 23:32:22
4f9d8f32-910b-4a6f-9026-24576c53b34c,Buy More Save More 107,Limited time offer - save on your favorite products!,,bogo,25.00,brand,,,,25.00,0,1,47,2025-11-16 23:32:22,2025-12-05 23:32:22,False,2025-11-16 23:32:22
