MENTION_ID,PRODUCT_ID,PLATFORM,POST_URL,CONTENT_TEXT,MEDIA_URL,AUTHOR_HANDLE,AUTHOR_NAME,AUTHOR_FOLLOWER_COUNT,LIKES,COMMENTS,SHARES,VIEWS,SENTIMENT_SCORE,SENTIMENT_LABEL,POSTED_AT,INGESTED_AT
62599f4c-9577-42d5-a1cd-8f351a9dcca8,a629f9bf-e9ed-4bd0-be42-bed0f002921d,twitter,https://twitter.com/post/bd34ce96-c57,Loving this Fenty Beauty Pro Lipstick! 💄✨ #beauty #makeup #FentyBeauty,https://twitter.com/media/c8117e02-7da.jpg,@beauty_lover_8384,Beauty Lover,85807,7216,19,148,0,0.9,neutral,2025-11-05 00:21:57,2025-11-27 06:49:57
ce8f06cf-6cdb-4a9f-9c6f-24b866600d0f,f97b7705-3cf7-4f94-b6c1-ac7e76c9ea9c,pinterest,https://pinterest.com/post/cd175480-332,Loving this NARS Radiant Lip Balm! 💄✨ #beauty #makeup #NARS,https://pinterest.com/media/95bf7222-61e.jpg,@beauty_lover_1824,Beauty Fan,94548,7906,465,94,0,0.63,positive,2025-09-24 05:48:57,2025-12-09 01:24:57
51f8d860-6ff2-46a0-9ffb-850fe7f25ae5,f7bd5fca-b269-45ef-accd-ee20d9a4943f,tiktok,https://tiktok.com/post/16ae65fe-a14,Loving this ILIA Ultra Lip Balm! 💄✨ #beauty #makeup #ILIA,https://tiktok.com/media/1e29fba6-7d7.jpg,@beauty_lover_8559,Beauty Lover,21605,175,55,187,21917,0.77,positive,2025-09-22 19:08:57,2025-12-05 02:08:57
8820b61f-bc39-46ec-bc26-a85b9f5eaa9b,e808c39e-791a-4718-a747-aef03f4b06b6,twitter,https://twitter.com/post/5a53d293-690,Loving this Benefit Radiant Lipgloss! 💄✨ #beauty #makeup #Benefit,https://twitter.com/media/b5c55e85-0ee.jpg,@beauty_lover_2494,Beauty Queen,29506,608,125,154,0,0.37,positive,2025-12-03 04:58:57,2025-12-02 16:52:57
3a2aabac-dad4-4e67-b6a3-e5093d2b8864,06969ac8-ba6d-41a2-a4fb-3dde31d3155a,youtube,https://youtube.com/post/e2da10cb-55e,Loving this Fenty Beauty Perfect Lipstick! 💄✨ #beauty #makeup #FentyBeauty,https://youtube.com/media/389a9764-ebf.jpg,@beauty_lover_7709,Makeup Queen,50064,6790,188,153,44854,0.42,positive,2025-10-13 06:54:57,2025-11-29 04:58:57
f939e5c1-b3f2-4fd2-a676-612cd3f5c1d8,835e39dd-f99c-4c43-b27a-c36d7b995300,instagram,https://instagram.com/post/33ea9889-c8c,Loving this Huda Beauty Luxe Lip Balm! 💄✨ #beauty #makeup #HudaBeauty,https://instagram.com/media/4b81100d-460.jpg,@beauty_lover_9727,Beauty Fan,19215,6014,447,28,0,0.37,positive,2025-10-25 16:18:57,2025-11-30 08:37:57
de251e28-8ebc-4ea9-ac0c-4e8e5ed2c60b,9767b850-db3f-4d4a-9c75-9129bdcd89b5,pinterest,https://pinterest.com/post/c2d878ab-efa,Loving this Too Faced Essential Lipgloss! 💄✨ #beauty #makeup #TooFaced,https://pinterest.com/media/f983abdb-73d.jpg,@beauty_lover_6079,Glam Lover,7312,1555,61,140,0,0.89,positive,2025-11-17 14:39:57,2025-12-04 14:10:57
478c4674-7e14-4b40-9fda-e331b9fd83d6,5b2b0786-8cfe-4b0b-b2be-6c998c8b3383,youtube,https://youtube.com/post/2ad9a47a-463,Loving this Benefit Pro Lipstick! 💄✨ #beauty #makeup #Benefit,https://youtube.com/media/9b2628f7-64a.jpg,@beauty_lover_5151,Makeup Queen,82290,5743,454,26,66739,0.79,positive,2025-10-23 09:20:57,2025-11-23 16:01:57
e63506ae-f54b-446a-9c1a-4232fc906412,7a4497c4-59ce-4557-9728-1f62d1f8ef61,youtube,https://youtube.com/post/2d9f0ce8-07a,Loving this Laura Mercier Pro Lipgloss! 💄✨ #beauty #makeup #LauraMercier,https://youtube.com/media/6aa2c5c8-c85.jpg,@beauty_lover_5437,Style Fan,16796,2176,118,10,25350,0.54,positive,2025-11-27 04:01:57,2025-12-13 12:49:57
0e98f74f-b54a-4870-8926-2e319f504ada,7169fb5b-4a56-4c2d-aec0-d124ab1851bc,twitter,https://twitter.com/post/ae4108c9-eca,Loving this Tarte Perfect Lip Balm! 💄✨ #beauty #makeup #Tarte,https://twitter.com/media/3a66e1db-6dd.jpg,@beauty_lover_7967,Glam Lover,2810,6384,333,37,0,0.84,positive,2025-11-20 15:18:57,2025-12-18 06:59:57
f5f5054a-4fa7-445c-91e0-f6e7751a0b0d,835e39dd-f99c-4c43-b27a-c36d7b995300,pinterest,https://pinterest.com/post/75c4d7c1-4d0,Loving this Huda Beauty Luxe Lip Balm! 💄✨ #beauty #makeup #HudaBeauty,https://pinterest.com/media/80621596-582.jpg,@beauty_lover_4757,Glam Fan,60223,5137,187,130,0,0.64,positive,2025-12-11 11:05:57,2025-12-18 10:29:57
